media;pays_siege;theme_media;note;indice_fiabilite;notation;justification
hcamag.com;Australia;Généraliste;5;4.5;F;
HDFC Sky;India;Sports;5;4.5;F;
Heatmap News;United States;Généraliste;5;4.5;F;
Hedge Fund News;;Agrégateur;;5;E;Mot-clé
hitc.com;United Kingdom;Généraliste;5;4.5;F;
HostingAdvice.com;United States;Généraliste;5;4.5;F;
Housing Market;;Agrégateur;;5;E;Mot-clé
HousingWire;United States;Business;5;4.5;F;
Houston Public Media;United States;Local/Régional;5;4.5;F;
How I Built This;;;;4.5;F;
HR Katha;India;Business;5;4.5;F;
Human Progress;United States;;;2;B;Média, auteurs précisés
Human Rights Watch;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Hurriyet;Turkey;;;1;A;Presse connue
HVG;Hungary;;;3;C;Média en ligne, auteur précisés
Hyperallergic;United States;Société/Culture/Positif;5;4.5;F;
Hürriyet Daily News;Turkey;Généraliste;2;1;A;Presse connue
IAEA;Austria;Tensions/guerre/violences/géopolitique;1;1;A;Think tank connu
IBM Newsroom;United States;Tech;5;4.5;F;
IBTimes India;India;Généraliste;5;4.5;F;
ICC;United States;Généraliste;5;4.5;F;
ICF;United States;Généraliste;5;4.5;F;
iCrossing;United States;Généraliste;5;4.5;F;
Idaho State Journal;United States;Local/Régional;5;4.5;F;
Ideastream;United States;Généraliste;5;4.5;F;
IEA Critical Minerals;France;;;1;A;Think tank
IEA News;;;;1;A;Think tank
iefimerida;Greece;;;1;A;Presse connue
IGN;France;Tech;5;4.5;F;
Il Sole 24 ORE;Italy;Généraliste;5;4.5;F;
IMF Media Center;United States;Politique;5;4.5;F;
In Business Madison;United States;Business;5;4.5;F;
in.gr;Greece;;;2;B;Média, auteurs précisés
inc.com;United States;Business;5;4.5;F;
Inc42;India;Généraliste;3;3;C;Média en ligne, auteur précisés
Inc42 (India);India;;;3;C;Média en ligne, auteur précisés
Index.hr;Croatia;;;2;B;Média, auteurs précisés
Index.hu;Hungary;;;2;B;Média, auteurs précisés
IndexBox;United States;Tech;5;4.5;F;
India News Network;India;;;5;E;Mot-clé
India Startups;India;;;5;E;Mot-clé
India Tech News;India;;;5;E;Mot-clé
India Tech Policy;;Agrégateur;;5;E;Mot-clé
India Today;India;Généraliste;5;4.5;F;
Indian Express;India;;;1;A;Presse connue
Indian Startup Times;India;Tech;5;4.5;F;
IndieWire;United States;Société/Culture/Positif;5;4.5;F;
Indonesia Nickel Policy;;Agrégateur;;5;E;Mot-clé
Indonesia Tech;;Agrégateur;;5;E;Mot-clé
Industrial Cyber;United States;Tech;5;5;E;Mot-clé
Industrial Equipment News;United States;Généraliste;5;4.5;F;
Infobae;Argentina;;;2;B;Média, auteurs précisés
InfoQ;China;;;2;B;Média, auteurs précisés
InformationWeek;United States;Généraliste;5;4.5;F;
Inquirer.net;Philippines;Généraliste;5;4.5;F;
Inshorts;India;Généraliste;5;4.5;F;
Inside Higher Ed;United States;Généraliste;5;4.5;F;
Inside The Rink;United States;Sports;5;4.5;F;
InSight Crime;United States;;;3;C;Média en ligne, auteur précisés
Inspenet;United States;Généraliste;5;4.5;F;
Institute for Energy Economics and Financial Analysis (IEEFA);United States;Business;5;4.5;F;
Intel Newsroom;United States;Tech;5;4.5;F;
Interesting Engineering;Canada;Généraliste;5;4.5;F;
International Atomic Energy Agency;Austria;Tensions/guerre/violences/géopolitique;5;4.5;F;
International Business Times;United States;Business;5;4.5;F;
International Business Times Australia;Australia;Business;5;2;B;Média, auteurs précisés
International Crisis Group;Belgium;Tensions/guerre/violences/géopolitique;5;2;B;Média, auteurs précisés
International Rescue Committee;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
intrafish.com;Norway;Business;5;4.5;F;
Inven Global;South Korea;Généraliste;5;4.5;F;
Investing News Network;Canada;Business;5;4.5;F;
Investing.com;Israel;Business;5;3;C;Informations marchés
Investing.com News;Israel;;;3;C;Informations marchés
Investing.com Nigeria;Israel;Business;5;3;C;Informations marchés
Investing.com UK;Israel;Business;5;3;C;Informations marchés
Investopedia;United States;Business;5;3;C;Informations marchés
Investor's Business Daily;United States;Business;5;3;C;Informations marchés
Invezz;British Virgin Islands;Généraliste;5;3;C;Informations marchés
ioplus.nl;Netherlands;Généraliste;5;4.5;F;
IPO News;;Agrégateur;;5;E;Mot-clé
IQAir;Switzerland;Environnement;5;4.5;F;
IRNA;Iran;;;5;E;Agence de presse iranienne
Iron Ore Market;;Agrégateur;;5;E;Mot-clé
ISEAS (Singapore);;;;2;B;Think tank
Island Times (Palau);Palau;;;2;B;Média, auteurs précisés
ITWeb;South Africa;Généraliste;5;4.5;F;
ixbt.games;Russia;Généraliste;5;4.5;F;
Jakarta Globe;Indonesia;Généraliste;5;4.5;F;
Jamestown;United States;;;3;C;Média en ligne, auteur précisés
Janes;United Kingdom;Tensions/guerre/violences/géopolitique;3;2;B;Média, auteurs précisés
JAPAN Forward;Japan;Généraliste;5;4.5;F;
Japan Startups;Japan;;;5;E;Mot-clé
Japan Tech News;Japan;;;5;E;Mot-clé
Japan Wire by Kyodo News;Japan;Généraliste;5;4.5;F;
JD Supra;United States;Politique;5;4.5;F;
jdjournal.com;United States;Généraliste;5;4.5;F;
Jersey Shore Online;United States;Local/Régional;5;4.5;F;
Jerusalem Post;Israel;;;2;B;Presse connue (peu fiable)
Jeune Afrique;France;;;1;A;
JoeBucsFan.com;United States;Sports;5;4.5;F;
Journal & Topics;United States;Local/Régional;5;4.5;F;
Journal-News.com;United States;Local/Régional;1;4.5;F;
Jurist.org;United States;Politique;5;4.5;F;
Jutarnji list;Croatia;;;2;B;Média, auteurs précisés
JW.ORG;United States;Société/Culture/Positif;5;4.5;F;
K-Jewel 99.3 FM;United States;Local/Régional;5;4.5;F;
Kansas City Star;United States;Local/Régional;5;4.5;F;
Kashmir Observer;India;Généraliste;5;4.5;F;
Kathimerini;Greece;;;1;A;Presse connue
KBAK;United States;Local/Régional;5;4.5;F;
KBOI;United States;Local/Régional;5;4.5;F;
KCCI;United States;Local/Régional;5;4.5;F;
KCRG;United States;Local/Régional;5;4.5;F;
KED Global;South Korea;Généraliste;3;4.5;F;
KFF;United States;Business;5;4.5;F;
KING5.com;United States;Local/Régional;5;4.5;F;
KIRO 7 News Seattle;United States;Local/Régional;5;4.5;F;
KITCO;Canada;Généraliste;5;4.5;F;
Kitco Gold;Canada;;;3;C;Informations marchés
Kitco News;Canada;;;3;C;Informations marchés
KitGuru;United States;Généraliste;5;4.5;F;
KMPH;United States;Local/Régional;5;4.5;F;
Know Startup;India;Tech;5;4.5;F;
KOAA News 5;United States;Local/Régional;5;4.5;F;
KOAM News Now;United States;Local/Régional;5;4.5;F;
KOIN.com;United States;Local/Régional;5;4.5;F;
KOMO;United States;Local/Régional;5;4.5;F;
Korben;France;Généraliste;5;4.5;F;
Korea Startups;South Korea;;;5;E;Mot-clé
Korea Tech News;South Korea;;;5;E;Mot-clé
Kotaku;United States;Tech;5;4.5;F;
KPMG;United Kingdom;Généraliste;5;4.5;F;
KrASIA;Singapore;;;3;C;Média en ligne, auteur précisés
KRCG;United States;Local/Régional;5;4.5;F;
Krebs Security;United States;;;3;C;Entreprise
KRON4;United States;Local/Régional;5;4.5;F;
KSAT;United States;Local/Régional;5;4.5;F;
KSL NewsRadio;United States;Local/Régional;5;4.5;F;
KTLA;United States;Local/Régional;5;4.5;F;
KTUL;United States;Local/Régional;5;4.5;F;
KTVU;United States;Local/Régional;5;4.5;F;
KuCoin;Seychelles;Business;5;4.5;F;
Kurdistan24;Iraq;Généraliste;5;4.5;F;
KVOA;United States;Local/Régional;5;4.5;F;
KVUE;United States;Local/Régional;5;4.5;F;
KWSN;United States;Local/Régional;5;4.5;F;
Kyiv Independent;Ukraine;;;1;A;Presse connue
Kyiv Post;Ukraine;Généraliste;5;1;A;Presse connue
La Silla Vacía;Colombia;;;1;A;Presse connue
Lab Manager;United States;Généraliste;5;4.5;F;
LAist;United States;Local/Régional;5;4.5;F;
LAmag;United States;Local/Régional;5;4.5;F;
Lapaas Voice;India;Généraliste;5;4.5;F;
LATAM Startups;;Agrégateur;;5;E;Mot-clé
Latin America;;Agrégateur;;5;E;Mot-clé
Law360;United States;Politique;5;4.5;F;
Lawfare;United States;Politique;5;4.5;F;
Layoffs News;us;;;3;C;Média en ligne, auteur précisés
Layoffs | TechCrunch;United States;Tech;4;4;D;Forum
Layoffs.fyi;United States;;;4;D;Forum
Le Monde.fr;France;Généraliste;2;1;A;Presse connue
Legacy obituary;United States;Société/Culture/Positif;5;4;D;Média en ligne, auteur non précisés
Legis1;United States;Politique américaine;5;4.5;F;
Let's Data Science;India;Tech;5;3;C;Média en ligne, auteur précisés
Lighthouse Reports;Netherlands;;;2;B;Média, auteur précisés
LinkedIn;United States;Généraliste;5;4.5;F;
Lithium Market;;Agrégateur;;5;E;Mot-clé
Little Village Magazine;United States;Local/Régional;5;4.5;F;
Live Law;India;Généraliste;5;4.5;F;
Live Science;United States;;;2;B;Média, auteur précisés
LME Metals;United Kingdom;;;3;C;Informations marchés
Lobsters;United States;;;4;D;Forum
Local News 8;United States;Généraliste;5;4.5;F;
lockhaven.com;United States;Généraliste;5;4.5;F;
Lohud;United States;Local/Régional;5;4.5;F;
London School of Economics;United Kingdom;Business;5;4.5;F;
Long Island Business News;United States;Local/Régional;5;4.5;F;
Los Angeles Times;United States;Généraliste;5;1;A;Presse connue
Lowy Institute;Australia;;;2;B;Think Tank
M&A News;;Agrégateur;;5;E;Mot-clé
MacDailyNews;United States;Généraliste;5;4.5;F;
Magzter;India;Généraliste;5;4.5;F;
Mainline Media News;United States;Local/Régional;5;4.5;F;
Marietta Daily Journal;United States;Local/Régional;5;4.5;F;
Market Outlook;;Agrégateur;;3;C;Informations marchés
MarketBeat;United States;Business;5;4.5;F;
marketech apac;Philippines;Tech;5;4.5;F;
Marketing Dive;United States;Business;5;4.5;F;
markets.businessinsider.com;United States;Business;5;4.5;F;
marketscreener.com;France;Business;5;4.5;F;
MarketWatch;United States;Business;2;3;C;Informations marchés
MarketWatch Tech;United States;;;3;C;Informations marchés
Mashable;United States;Tech;5;4.5;F;
Masters of Scale;United States;;;3;C;Média en ligne, auteur précisés
mauinews.com;United States;Généraliste;5;4.5;F;
MaxPreps;United States;Sports;5;4.5;F;
MediaNama;India;Généraliste;5;4.5;F;
MedPage Today;United States;Business;5;4.5;F;
Meduza;Latvia;Généraliste;2;2;B;
Mehr News;Iran;;;5;E;Agence de presse iranienne
Memeburn;South Africa;Généraliste;5;4.5;F;
Men's Health;United States;Société/Culture/Positif;5;4.5;F;
MENA Startups;;Agrégateur;;5;E;Mot-clé
MENA Tech News;;Agrégateur;;5;E;Mot-clé
Menlo Ventures;United States;Généraliste;5;4.5;F;
Messari;United States;;;3;C;Informations marchés
Metals Bulletin;United Kingdom;;;5;E;Mot-clé
MEXC;Seychelles;Généraliste;5;4.5;F;
Mexico Business News;Mexico;Business;5;4.5;F;
Mexico News Daily;Mexico;;;1;A;Presse connue
Mexico Security;;Agrégateur;;2;B;Média en ligne, auteur précisés
Mezha;Ukraine;Généraliste;5;4.5;F;
Miami Herald;United States;Local/Régional;5;4.5;F;
Michael Geist;Canada;Généraliste;5;4.5;F;
Middle East Eye;United Kingdom;Tensions/guerre/violences/géopolitique;5;4.5;F;
Middle East Forum;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Middle East Institute;United States;;;1;A;Think Tank
middleeastevents.com;United Arab Emirates;Généraliste;5;4.5;F;
Midland Reporter-Telegram;United States;Local/Régional;5;4.5;F;
Military Times;United States;Tensions/guerre/violences/géopolitique;2;2;B;Média, auteur précisés
Millersville University;United States;Généraliste;5;4.5;F;
Mine Web (SNL);SA;;;5;E;Mot-clé
Mining & Resources;;Agrégateur;;5;E;Mot-clé
Mining Journal;United Kingdom;;;5;E;Mot-clé
Mining Regulation;;Agrégateur;;5;E;Mot-clé
Mining Technology;United Kingdom;;;5;E;Mot-clé
Mining Weekly;South Africa;;;5;E;Mot-clé
Mining-journal.com;United Kingdom;Business;5;4.5;F;
Mining.com;Canada;;;3;C;Média en ligne, auteur précisés
Mint;India;Généraliste;5;4.5;F;
Mintz;United States;Politique;5;4.5;F;
Mirage News;Australia;Généraliste;5;4.5;F;
Mission Network News;United States;Généraliste;5;4.5;F;
MIT Tech Policy;United States;;;1;A;Think Tank
MIT Tech Review;United States;;;1;A;Think Tank
MLB.com;United States;Sports;5;4.5;F;
MLex;United States;Généraliste;5;4.5;F;
Modern Ghana;Ghana;Généraliste;5;4.5;F;
Modern Healthcare;United States;Business;5;4.5;F;
MOFCOM (China);China;;;3;C;Agence gouvernementale (peu fiable)
Moneycontrol.com;India;Business;5;4.5;F;
moneywise.com;Canada;Généraliste;5;4.5;F;
Mongabay;United States;Environnement;3;2;B;Média, auteur précisés
Moomoo;Hong-Kong;Business;5;3;C;Site de trading
Morningstar;United States;Généraliste;5;4.5;F;
Moscow Times;Netherlands;;;1;A;Presse connue
MP1st;United States;Généraliste;5;4.5;F;
MPR News;United States;Généraliste;5;4.5;F;
MS NOW;United States;Politique américaine;5;4.5;F;
Mshale;United States;Généraliste;5;3;C;Média en ligne, auteur précisés
MSME Africa;Nigeria;Généraliste;5;3;C;Média en ligne, auteur précisés
MSN;United States;Généraliste;5;5;E;Mot-clé
Myanmar International TV;Myanmar;Généraliste;5;4.5;F;
mynbc15.com;United States;Généraliste;5;4.5;F;
MyNewsLA.com;United States;Généraliste;5;4.5;F;
MyNorthwest.com;United States;Généraliste;5;4.5;F;
MyTravelGov (.gov);United States;Politique américaine;5;4.5;F;
N1 Croatia;Croatia;;;1;A;Presse connue
Naftemporiki;Greece;;;1;A;Presse connue
Nasscom;India;Généraliste;5;4.5;F;
National Association of REALTORS®;United States;Généraliste;5;4.5;F;
National Institute of Standards and Technology (.gov);United States;Tech;5;4.5;F;
National News Desk;United States;Politique américaine;5;4.5;F;
nationaljeweler.com;United States;Généraliste;5;4.5;F;
Natural Gas & LNG;;Agrégateur;;5;E;Mot-clé
Natural Gas Intelligence;United States;Business;5;5;E;Mot-clé
Natural Gas News;;Agrégateur;;5;E;Mot-clé
Nature;United Kingdom;Tech;5;1;A;Presse connue
NBC News;United States;Généraliste;2;1;A;Presse connue
NBC Sports;United States;Sports;5;4.5;F;
NBC10 Philadelphia;United States;Local/Régional;5;4.5;F;
NDTV;Nigeria;Généraliste;5;2;B;Média, auteur précisés
NDTV Profit;Nigeria;Business;5;4.5;F;
Network World;United States;Généraliste;5;4.5;F;
New African Magazine;United Kingdom;Généraliste;5;4.5;F;
New Jersey 101.5;United States;Local/Régional;5;4.5;F;
New Lines Institute;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
New Scientist;United Kingdom;;;1;A;Presse connue
New Unicorns;;Agrégateur;;5;E;Mot-clé
New York Post;United States;Généraliste;5;1;A;Presse connue
Newcomer St. Louis;United States;Local/Régional;5;4.5;F;
News (English) - World Health Organization;Switzerland;Politique;5;2;B;Agence gouvernementale
News and Sentinel;United States;Généraliste;5;4.5;F;
News On AIR;India;Généraliste;5;4.5;F;
news.cgtn.com;China;Généraliste;5;4.5;F;
News24;South Africa;Généraliste;5;4.5;F;
NewsChannel 10;United States;Généraliste;5;4.5;F;
Newsday;United States;Généraliste;5;4.5;F;
Newsmax;United States;Politique américaine;5;4.5;F;
Newsonair;India;Généraliste;5;4.5;F;
newsroom.churchofjesuschrist.org;United States;Généraliste;5;4.5;F;
Newstalk KZRG;United States;Généraliste;5;4.5;F;
Newsweek;United States;Généraliste;5;4.5;F;
Newswise;United States;Tech;5;4.5;F;
NEXT.io;Malta;Généraliste;5;4.5;F;
NextBigFuture.com;United States;Généraliste;5;4.5;F;
Nextgov/FCW;United States;Généraliste;5;4.5;F;
NFT News;;Agrégateur;;5;E;Mot-clé
Nickel News;;Agrégateur;;5;E;Mot-clé
Nikkei Asia;Japan;Généraliste;2;1;A;Presse connue
nippon.com;Japan;Généraliste;5;4.5;F;
NJ.com;United States;Local/Régional;5;4.5;F;
NK News;South Korea;Généraliste;5;4.5;F;
No Film School;United States;Société/Culture/Positif;5;4.5;F;
None;;;5;4.5;F;
NorthcentralPA.com;United States;Local/Régional;5;4.5;F;
Northern Kentucky Tribune;United States;Généraliste;5;4.5;F;
Northern Miner;Canada;;;2;B;Média, auteur précisés
NOS Nieuws;Netherlands;;;2;B;Média, auteur précisés
NPR;United States;Généraliste;2;3;C;Média en ligne, auteur précisés
NPR News;United States;;;3;C;Média en ligne, auteur précisés
NRC;Netherlands;;;1;A;Think Tank
NTI;United States;;;3;C;Média en ligne, auteur précisés
Nuclear Energy;;Agrégateur;;5;E;Mot-clé
Nuclear Energy Agency (NEA);France;Environnement;5;2;B;Agence gouvernementale
Nuclear Engineering International;United Kingdom;Environnement;5;4.5;F;
NVIDIA;United States;Tech;5;3;C;Entreprise
NZ Herald;New Zealand;Généraliste;5;4.5;F;
O Globo;Brazil;;;1;A;Presse connue
OCCRP;Netherlands;;;1;A;Think Tank
Oceania Football Confederation;New Zealand;Sports;5;4.5;F;
OCHA;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Odessa American;United States;Local/Régional;5;4.5;F;
OECD AI Policy Observatory;France;Tech;5;4.5;F;
OECD Digital;France;;;2;B;Agence gouvernementale
Office of the Secretary of Defense Historical Office (.gov);United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
OfficeChai;India;Généraliste;5;4.5;F;
Oil & Gas;;Agrégateur;;5;E;Mot-clé
Oil & Gas 360;United States;Business;5;4.5;F;
Oil & Gas Middle East;United Arab Emirates;Business;5;4.5;F;
Oil City News;United States;Business;5;4.5;F;
OilPrice.com;United Kingdom;;;3;C;Informations marchés
Oklahoma Energy Today;United States;Business;5;4.5;F;
olympics.com;Switzerland;Sports;5;4.5;F;
Oman Observer;Oman;;;1;A;Presse connue
OPB;United States;Généraliste;5;4.5;F;
OPEC & Crude;;Agrégateur;;5;E;Mot-clé
OPEC News;;Agrégateur;;5;E;Mot-clé
Open Doors UK & Ireland;United Kingdom;Généraliste;5;4.5;F;
Open Global Rights;United States;Généraliste;5;4.5;F;
Open Society Foundations;United States;Politique;5;4.5;F;
Open Source News;;Agrégateur;;5;E;Mot-clé
OpenAI;United States;Tech;3;3;C;Entreprise
OpenAI News;United States;;;3;C;Entreprise
Opera Now;United Kingdom;Société/Culture/Positif;5;4.5;F;
Opta Analyst;United Kingdom;Sports;5;4.5;F;
Optimist Daily;US;;;3;C;Média en ligne, auteur précisés
Options Market;;Agrégateur;;5;E;Mot-clé
ORF Tech (India);India;;;3;C;Média en ligne, auteur précisés
orfonline.org;India;Politique;5;4.5;F;
Oryx OSINT;Netherlands;;;3;C;Média en ligne, auteur précisés
OS X Daily;United States;Généraliste;5;4.5;F;
Oskaloosa Herald;United States;Local/Régional;5;4.5;F;
Ottumwa Courier;United States;Local/Régional;5;4.5;F;
outlookbusiness.com;India;Business;5;4.5;F;
OutSports;United States;Sports;5;4.5;F;
PA Department of Community & Economic Development (.gov);United States;Business;5;4.5;F;
pan african visions;United States;Généraliste;5;4.5;F;
Patch;United States;Généraliste;5;4.5;F;
Paul Graham Essays;United States;;;4;D;Blog
Payload Space;United States;Généraliste;5;4.5;F;
PBoC Watch;;Agrégateur;;5;E;Mot-clé
PBS;United States;Généraliste;5;4.5;F;
PBS NewsHour;United States;;;2;B;Média, auteur précisés
PC Gamer;United States;Généraliste;5;4.5;F;
pedestrian.tv;Australia;Généraliste;5;4.5;F;
Pennsylvania;United States;Généraliste;5;4.5;F;
Pentagon;United States;;;2;B;
People Matters;India;Généraliste;5;4.5;F;
People Matters Global;India;Généraliste;5;4.5;F;
People.com;United States;Société/Culture/Positif;5;4.5;F;
Personal Care Insights;United States;Généraliste;5;4.5;F;
Philadelphia Union;United States;Sports;5;4.5;F;
Phys.org;United States;Tech;5;4.5;F;
Pineisland-eagle.com;United States;Local/Régional;5;4.5;F;
Pipeline Magazine;Australia;Généraliste;5;4.5;F;
Pipeline Technology Journal;Germany;Tech;5;4.5;F;
Pipelines & Chokepoints;;Agrégateur;;5;E;Mot-clé
PitchBook News;United States;;;3;C;Informations marchés
Pivot Podcast;;;;4.5;F;
playday.one;United States;Généraliste;5;4.5;F;
Politico;United States;Politique américaine;2;1;A;Presse connue
Politico Tech;United States;;;1;A;Presse connue
Politics Today;Turkey;Généraliste;5;1;A;Presse connue
Polsat News;Poland;;;2;B;Média, auteur précisés
Port & Logistics;;;;5;E;Mot-clé
Port & Terminal;;Agrégateur;;5;E;Mot-clé
Portfolio.hu;Hungary;;;2;B;Média, auteur précisés
Positive.News;United Kingdom;;;3;C;Média en ligne, auteur précisés
PR Newswire;United States;Généraliste;5;4.5;F;
Precious Metals;;Agrégateur;;5;E;Mot-clé
Premium Times;Nigeria;;;2;B;Média, auteur précisés
Premium Times Nigeria;Nigeria;Généraliste;2;4.5;F;
PreventionWeb.net;Switzerland;Environnement;5;4.5;F;
Private Equity;;Agrégateur;;5;E;Mot-clé
Pro Hockey News;United States;Sports;5;4.5;F;
Proactive Investors;United Kingdom;Business;5;4.5;F;
Product Hunt;United States;;;3;C;Informations marchés
producthunt.com;United States;Généraliste;5;3;C;Informations marchés
Progressive Grocer;United States;Généraliste;5;4.5;F;
Proto Thema;Greece;;;1;A;Presse connue
ProtoThema English;Greece;Généraliste;5;1;A;Presse connue
PRWeek;United Kingdom;Généraliste;5;4.5;F;
Pulse 2.0;United States;Généraliste;5;4.5;F;
Pure Xbox;United Kingdom;Tech;5;4.5;F;
pushsquare.com;United Kingdom;Généraliste;5;4.5;F;
PYMNTS.com;United States;Business;5;3;C;Informations marchés
Qatar Tribune;Qatar;Généraliste;5;4.5;F;
Qazinform;Kazakhstan;Généraliste;5;4.5;F;
Quiver Quantitative;United States;Généraliste;5;4.5;F;
QuotedData;United Kingdom;Généraliste;5;4.5;F;
qz.com;United States;Business;5;3;C;Informations marchés
R Street Institute;United States;Politique;5;4.5;F;
Radio and Music Pros;United States;Société/Culture/Positif;5;4.5;F;
Radio Free Europe/Radio Liberty;United States;Généraliste;5;4.5;F;
RAND;United States;;;3;C;Média en ligne, auteur précisés
Ransomware.live;France;;;3;C;Média en ligne, auteur précisés
Rapid City Rush;United States;Sports;5;4.5;F;
Rare Earths News;;Agrégateur;;5;E;Mot-clé
Reading Eagle;United States;Local/Régional;5;4.5;F;
Reasons to be Cheerful;United States;;;3;C;Média en ligne, auteur précisés
Red Lake Nation News;United States;Généraliste;5;4.5;F;
Refinery & Disruptions;;Agrégateur;;5;E;Mot-clé
ReliefWeb;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Religion News Service;United States;Société/Culture/Positif;5;4.5;F;
Renaissance Capital ETFs;United States;Business;5;4.5;F;
Renaissance IPO;United States;;;3;C;Entreprise
renaissancecapital.com;United States;Business;5;3;C;Entreprise
Repubblica;Italy;;;1;A;Presse connue
Republic World;India;Généraliste;5;4.5;F;
Resource Works;Canada;Généraliste;5;4.5;F;
Resource World;Canada;;;3;C;Informations marchés
Responsible Statecraft;United States;;;1;A;Think Tank
Resultsense;United Kingdom;Généraliste;5;4.5;F;
Reuters;United Kingdom;Généraliste;1;1;A;Presse connue
Revista Merca2.0;Mexico;Généraliste;5;4.5;F;
RFI;France;Généraliste;5;2;B;Presse connue (risque de biais dipomatique)
rg.org;United States;Généraliste;5;4.5;F;
RIETI (Japan);Japan;;;2;B;Think Tank
Riftbound | League of Legends Trading Card Game;United States;Business;5;4.5;F;
Rigzone;United States;;;3;C;Informations marchés
Rio Tinto News;United Kingdom;;;2;B;Média, auteur précisés
Ripon Advance;United States;Politique américaine;5;4.5;F;
Risk & Volatility;;Agrégateur;;5;E;Mot-clé
Robinhood;United States;Généraliste;5;4.5;F;
Rolling Out;United States;Société/Culture/Positif;5;4.5;F;
RotoWire;United States;Sports;5;4.5;F;
Royal Dutch Shell Plc .com;Netherlands;Généraliste;5;4.5;F;
Royal United Services Institute (RUSI);United Kingdom;Tensions/guerre/violences/géopolitique;5;4.5;F;
rpc.state.gov;United States;Politique américaine;5;4.5;F;
RSF.ORG;France;Généraliste;5;4.5;F;
RT;Russia;;;5;E;Agence de presse Russe
Rudaw;Iraq;;;2;B;Média, auteur précisés
RUSI;United Kingdom;;;2;B;Think Tank
Rzeczpospolita;Poland;;;3;C;Média en ligne, auteur précisés
S&P Global Commodity;United States;;;3;C;Entreprise
S&P Global Platts;United States;;;3;C;Entreprise
SaaStr;United States;;;3;C;Informations marchés
Sahara Reporters;Nigeria;Généraliste;5;4.5;F;
Sahel Crisis;;Agrégateur;;5;E;Mot-clé
Sahm;Saudi Arabia;Généraliste;5;4.5;F;
Salon.com;United States;Politique américaine;5;4.5;F;
Samaritan's Purse;United States;Généraliste;5;4.5;F;
San Diego Union-Tribune;United States;Local/Régional;5;4.5;F;
San Francisco Chronicle;United States;Généraliste;5;4.5;F;
Sandboxx;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
SB Nation;United States;Sports;5;4.5;F;
SC Freiburg;Germany;Sports;5;4.5;F;
scanx.trade;India;Généraliste;5;4.5;F;
SCC Online;India;Généraliste;5;4.5;F;
Schneier;United States;;;3;C;Entreprise
Sci.News;Australia;Tech;5;4.5;F;
Scotsman Guide;United States;Business;5;4.5;F;
Scripps News;United States;Généraliste;5;4.5;F;
SDG Knowledge Hub;United States;Généraliste;5;4.5;F;
SDxCentral;United Kingdom;Généraliste;5;4.5;F;
SEA Startups;;Agrégateur;;5;E;Mot-clé
SEA Tech News;;Agrégateur;;5;E;Mot-clé
Search Engine Journal;United States;Généraliste;5;4.5;F;
Search Engine Roundtable;United States;Généraliste;5;4.5;F;
SEC;United States;;;2;B;Agence gouvernementale
SEC Filings;United States;;;2;B;Agence gouvernementale
Security Risks Asia;India;Tensions/guerre/violences/géopolitique;5;4.5;F;
SecurityWeek;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Seed & Pre-Seed;;Agrégateur;;5;E;Mot-clé
Seeking Alpha;United States;Business;5;3;C;Informations marchés
Seeking Alpha Metals;United States;;;3;C;Informations marchés
Seeking Alpha Tech;United States;;;3;C;Informations marchés
sekbernews.id;Bermuda;Généraliste;5;4.5;F;
Semafor;United States;Généraliste;5;4.5;F;
SemiAnalysis;United States;Tech;5;3;C;Média en ligne, auteur précisés
Semiconductor News;;Agrégateur;;5;E;Mot-clé
Seoul Economic Daily;South Korea;Généraliste;5;4.5;F;
Sequoia Blog;;;;4.5;F;
Sequoia Capital;United States;Tech;2;3;C;Entreprise
Serbian Monitor;Serbia;Généraliste;5;4.5;F;
SFGATE;United States;Généraliste;5;4.5;F;
Share Talk;United Kingdom;Généraliste;5;4.5;F;
Shareable;United States;;;3;C;Site d'investissement
ShiaWaves;Iraq;Généraliste;5;4.5;F;
Shipping & Freight;;Agrégateur;;5;E;Mot-clé
Show HN;United States;;;5;E;Mot-clé
Sifted;United Kingdom;Tech;3;3;C;Média en ligne, auteur précisés
Sifted (Europe);United Kingdom;;;3;C;Média en ligne, auteur précisés
sify.com;India;Généraliste;5;4.5;F;
sightmagazine.com.au;Australia;Généraliste;5;4.5;F;
Signal Cleveland;United States;Local/Régional;5;4.5;F;
Silver Price News;;Agrégateur;;5;E;Mot-clé
SilverSeek;;;;3;C;Informations marchés
Simcoe Reformer;Canada;Généraliste;5;4.5;F;
Simplilearn.com;United States;Généraliste;5;4.5;F;
simplywall.st;Australia;Business;5;3;C;Informations marchés
Singularity Hub;United States;;;3;C;Média en ligne, auteur précisés
Sioux County Radio;United States;Local/Régional;5;4.5;F;
Sky Sports;United Kingdom;Sports;5;4.5;F;
SlashGear;United States;Généraliste;5;4.5;F;
SMEStreet;India;Généraliste;5;4.5;F;
